building_type;cea_code;Occ_m2p;Qs_Wp;X_ghp;Ea_Wm2;El_Wm2;Epro_Wm2;Ed_Wm2;Vww_ldp;Vw_ldp;Qcre_Wm2;Qhpro_Wm2;Qcpro_Wm2;Ev_kWveh
AB;MULTI_RES;30,0;70,0;80,0;8,0;2,7;0,0;0,0;35,0;140,0;0,0;0,0;0,0;0,0
MFH;MULTI_RES;30,0;70,0;80,0;8,0;2,7;0,0;0,0;35,0;140,0;0,0;0,0;0,0;0,0
SFH;SINGLE_RES;50,0;70,0;80,0;8,0;2,7;0,0;0,0;40,0;160,0;0,0;0,0;0,0;0,0
TH;SINGLE_RES;50,0;70,0;80,0;8,0;2,7;0,0;0,0;40,0;160,0;0,0;0,0;0,0;0,0
IWU Hotels, Boarding, Restaurants or Catering;HOTEL;15,0;70,0;80,0;8,0;2,7;0,0;0,0;40,0;160,0;0,0;0,0;0,0;0,0
IWU Office, Administrative or Government Buildings;OFFICE;14,0;70,0;80,0;7,0;15,9;0,0;0,0;3,0;60,0;0,0;0,0;0,0;0,0
IWU Trade Buildings;RETAIL;8,0;70,0;80,0;2,0;33,3;0,0;0,0;2,0;30,0;0,0;0,0;0,0;0,0
-;FOODSTORE;8,0;70,0;80,0;2,0;21,3;0,0;0,0;2,0;30,0;10,0;0,0;0,0;0,0
-;RESTAURANT;2,0;70,0;80,0;2,0;6,9;0,0;0,0;15,0;45,0;0,0;0,0;0,0;0,0
IWU Technical and Utility (supply and disposal);INDUSTRIAL;15,0;90,0;170,0;10,0;10,8;16,5;0,0;3,0;60,0;0,0;150,0;0,0;0,0
IWU School, Day Nursery and other Care;SCHOOL;3,0;70,0;80,0;4,0;14,0;0,0;0,0;2,0;30,0;0,0;0,0;0,0;0,0
IWU Health and Care;HOSPITAL;9,3;70,0;80,0;13,0;11,0;0,0;0,0;25,8;103,2;0,0;16,0;0,0;0,0
IWU Sports Facilities;GYM;10,0;120,0;280,0;2,0;9,9;0,0;0,0;60,0;180,0;0,0;0,0;0,0;0,0
-;SWIMMING;10,0;70,0;80,0;2,0;11,3;0,0;0,0;120,0;360,0;0,0;0,0;0,0;0,0
-;SERVERROOM;0,0;70,0;0,0;0,0;6,6;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0
IWU Transport;PARKING;0,0;35,0;0,0;1,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
-;COOLROOM;0,0;70,0;0,0;0,0;5,7;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0
-;LAB;15,0;70,0;80,0;20,0;16,2;16,5;0,0;3,0;60,0;0,0;0,0;0,0;0,0
IWU Culture and Leisure;MUSEUM;3,0;70,0;80,0;7,0;10,8;0,0;0,0;2,0;30,0;0,0;0,0;0,0;0,0
-;LIBRARY;5,0;70,0;80,0;2,0;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IWU Research and University Teaching;UNIVERSITY;10,0;70,0;80,0;4,0;12,5;0,0;0,0;2,0;30,0;0,0;0,0;0,0;0,0
IWU Generalized (1) Services building;OFFICE;14,0;70,0;80,0;7,0;15,9;0,0;0,0;3,0;60,0;0,0;0,0;0,0;0,0
IWU Generalized (2) Production buildings;INDUSTRIAL;15,0;90,0;170,0;10,0;10,8;16,5;0,0;3,0;60,0;0,0;150,0;0,0;0,0