;ID_Enob_lfd;ID_HK_UK_Enob_long;Bez_HK_Enob;Bez_HK_Enob_Eng;Bez_UK_Enob;Bez_UK_Enob_Eng;t_start;t_end;t_nutz_d;d_nutz_a;t_Tag;t_Nacht;t_v_op_d;d_op_a;t_h_op_d;E_m;h_Ne;k_A;C_A;k;F_t;k_VB;theta_i_h_soll;theta_i_c_soll;deltaTheta_i_NA;theta_i_h_min;theta_i_c_max;Feuchte;Vd_A;Vd_A_Geb;c_RLT;F_RLT;q_I_p;q_I_fac
0;1;HK_UK_1-0;Büro-, Verwaltungs- oder Amtsgebäude;Office, Administrative or Government Buildings;;;6.94764461925983;18.185218530336055;11.237573911076225;256.5631789560671;2568.4262250899283;315.2301087693127;13.19556784456156;256.5631789560671;13.13259657846842;328.47924720912613;0.6854447716810405;0.945293394596074;0.4980913677891848;1.3493647407171647;0.8777134878938119;1.1176933003462188;20.802614610358102;24.05313957223803;3.9107322617775977;19.90037920402593;26.03308834554183;0.5815141189231632;5.01315474713825;1.7366067169000676;0.2303608392715074;0.8609523194974584;30.74468154149872;56.34230797296089
6;7;HK_UK_2-0;Gebäude für Forschung und Hochschullehre;Buildings for Research and University Teaching;;;7.048777951118043;18.023296931877272;10.97451898075923;246.36087945413192;2469.570150806032;234.1219968798752;14.409568382735307;246.44806671721;12.945189807592302;308.02918877937833;0.6775208491281274;0.9513083017437454;0.570240712661107;1.2718466641394999;0.925576573161486;1.1521986353297953;21.09162623199394;24.031387414708107;3.9692645943896894;19.914085914085916;26.039960039960036;0.5012774829416224;9.283716283716284;1.7902097902097902;0.16911485974222898;0.8832354056103109;52.55034841393656;43.68565782631306
14;15;HK_UK_3-0;Gebäude für Gesundheit und Pflege;Buildings for Health and Care;;;6.539792919299999;18.84042491883897;12.300631999538968;278.6679451661165;2729.0530956451585;698.7387479109437;14.145263845400239;278.6679451661165;14.056899168219456;295.73613145639615;0.663820443705941;0.9808631120633918;0.4038970287381272;1.2494263931011003;0.9088269559323726;1.0953877195338682;21.469586184709858;24.032832865348404;2.8989745976318604;19.998992950654586;26.018126888217523;0.4812863286972111;6.528801611278954;1.7573011077542802;0.19683946190581791;0.8541698551068662;45.968572910463536;25.24920759936224
28;29;HK_UK_4-0;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;School, Day Nursery and other Care Buildings;;;7.472502241367998;17.044674290962362;9.572172049594364;238.93589875384072;2096.4675384312604;190.6679932649625;11.581334324637549;238.93589875384072;11.581334324637549;228.88942192372272;0.6642817165244607;0.975706861300529;0.5690701207323899;1.3971598761836226;0.9524794115295435;1.0727683925573108;20.955535757118877;24.007566048726996;3.9606437537835957;19.989959839357425;26.008032128514056;0.4946098756125142;7.7377008032128485;1.8388554216867468;0.2284103759037796;0.9214855680818743;56.34681069733878;31.575648903369697
44;45;HK_UK_5-0;Gebäude für Kultur und Freizeit;Buildings for Culture and Leisure;;;8.753220448837396;18.912987118204647;10.159766669367253;255.53029457265436;2214.604148100138;381.52402171271166;13.75435469496881;265.52614790832683;13.698655108158473;268.1296949011978;0.7033308878646274;0.9554058148992838;0.5065425591298385;1.5208240299197775;0.9706149024736448;1.1743791965040433;20.960829970813858;24.0;4.0;19.985685071574636;25.999999999999996;0.6954833256247908;8.616717791411045;1.923057259713701;0.30197684247460166;0.8944733736304046;54.89739123389776;31.06092522077291
51;52;HK_UK_6-0;Sportgebäude;Sports Facility Buildings;;;7.606947230365684;20.46358586637864;12.856638636012958;264.9810978546065;2598.773877488042;807.9923430026231;14.918685388057398;264.9810978546065;14.897469526307669;252.11201471367005;0.7553273296519155;0.9918719274637673;0.4510537946056878;1.6479656190977678;0.9931920773007737;1.0961909176691556;20.09722153464418;24.136671512216637;3.9348146014572656;19.927;26.078;0.259140912493568;5.772349999999999;1.59975;0.3918542254545891;0.917756915409899;62.980057089955245;25.237039037185617
68;69;HK_UK_7-0;Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Buildings providing Boarding, Hotels, Restaurants or Catering;;;4.680388481853808;16.524331231896404;11.843942750042597;304.49549790611997;1954.0817515760773;1652.3454932697223;17.241557335150794;304.56167343527244;17.241557335150794;220.41558232307762;0.7396933771242704;0.9905633695428566;0.43811365215552406;1.5633573147696587;0.7761986762016974;1.0579467459622138;21.032695027196706;24.030245094019605;2.6973318314365415;20.00301507537688;26.018090452261305;0.7209435479578377;11.829547738693465;1.7532663316582913;0.3766516908566997;0.7610817397258894;87.5646277048901;115.09054353382174
76;77;HK_UK_8-0;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Production, Workshop, Warehouse or Operations Buildings;;;4.391111030452615;19.782004282966135;15.390893252513521;315.4409311034833;3110.075968204421;1744.8417298827628;16.484192951254037;315.7121354512428;16.464229973503684;207.26638988101206;0.3159186339790748;0.968318639167332;0.5421047108195205;2.141671196565374;0.6164751924666507;1.5713148340524183;15.106920545380152;25.548326846046727;1.6493846609179208;16.526209677419352;27.346774193548388;0.11456968713630615;2.6919858870967746;0.5627520161290324;0.05341723373923584;0.9765532049868584;19.39370621756016;79.44216180900875
88;89;HK_UK_9-0;Handelsgebäude;Trade Buildings;;;7.695743665010344;19.504535728811156;11.808792063800812;287.69437360642956;2865.888047956711;531.4349878870399;13.811550635709354;287.832139610871;13.767661049318308;266.44087517351784;0.7654512809992229;0.944932981331209;0.2243675117812396;2.1731970248532866;0.9828939546180813;1.2807725078953396;20.83064514921406;24.048841043487634;3.9304461372359047;19.908726178535602;26.040120361083233;0.7877894396367771;4.07422266800401;1.953610832497492;0.39406243495423027;0.9776961331178993;66.39394528832379;-46.06327032236386
95;96;HK_UK_10-0;Technikgebäude (Ver- und Entsorgung);Technical and Utility Buildings (supply and disposal);;;5.167719098525408;20.05770291182696;14.889983813301551;308.0975988531836;3089.845159109909;1497.7231007310695;16.37837741688753;308.0975988531836;16.37837741688753;349.84398518695497;0.7534822601839686;0.9606498387289453;0.5498664436745908;1.4619543662644845;0.7529597419663123;1.1647353960100346;21.0;24.0;3.984651773981603;20.0;26.000000000000007;0.28540437223748655;3.4115000000000006;1.0180000000000002;0.13713773742683072;0.9467482976944213;36.04845336985717;518.7199701168644
102;103;HK_UK_11-0;Verkehrsgebäude;Transport Buildings;;;7.444448638345254;18.967595825391136;11.523147187045879;268.65629560235647;2591.5349236605207;504.2311132919395;13.659539132239983;268.65629560235647;13.659539132239983;260.62626007858137;0.7783811050858449;0.9520496186394182;0.4207826367517938;1.6412323916557614;0.9806348748806457;1.1478437609015733;21.0;23.999999999999996;3.9526546201380004;20.0;26.0;0.7982236474678869;6.28805;1.8967500000000002;0.38680051819835987;0.8687020637855667;77.62639892803895;11.116273803008287
107;108;HK_UK_12-0;Sonstiges Nichtwohngebäude;Other non-doemestic buildings;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
